File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
25847d18-99c0-4f2f-ad12-6e0c6b0c6bab	3023cb78-d023-4bb1-9943-a6d6c283022a.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	06CO001, 06CO001	87408d9e-4029-4e8f-b14c-8efc04, a5ceba47-6596-47ff-8fab-e835d3	Primary Tumor, Blood Derived Normal
1eebb7a2-dc05-4f17-8e86-a80773943c27	402ffd0a-d641-404a-822a-b73ab51dfeef.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	11CO021, 11CO021	cf795cd2-317b-4897-a35e-390001, fa74656d-803c-4984-bbcd-8f3179	Primary Tumor, Blood Derived Normal
9bf17821-9e99-4932-a551-936f8378c3d9	a390bb6a-5fcc-43ff-81bf-13d13afd784e.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	11CO020, 11CO020	52d61ab1-5781-4b47-8e88-37c2ea, 0318bcea-2ea7-471a-9f42-5f5ccd	Primary Tumor, Blood Derived Normal
e628d628-b8c7-4315-91b2-2b9d55347e39	473d27b3-647b-45b5-bebd-dc52771bd736.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	09CO014, 09CO014	d97af421-cedf-4cc6-b1e5-3b1ad2, 1ea1d7ee-e382-4a68-8e7c-74e833	Blood Derived Normal, Primary Tumor
aaeeaa0c-a1dc-40ee-9bf2-fae8f46efbf1	78a17339-d64c-4a6b-b9c5-a54f1164bc77.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	20CO001, 20CO001	04143d60-42b0-477d-9e44-6ab225, d8345fa1-f692-4025-bc82-bfaec6	Blood Derived Normal, Primary Tumor
76c9ad28-dd5d-4234-8442-bf05d52d2208	28de20dd-1b4d-4fd8-b9fd-bf521bb96878.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	09CO015, 09CO015	d068de5f-8394-46bc-b03a-c6dc9c, 2056d495-4d6d-4d84-a29a-80373d	Primary Tumor, Blood Derived Normal
e7ffdead-0bab-406b-80ad-3634e906ab1c	7ac84cee-6395-45cb-b845-7a47ef56d4da.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	16CO003, 16CO003	b078ea81-4c88-4864-9de5-7c25a3, 47b9deba-dea0-4e0c-8b0a-4864c3	Blood Derived Normal, Primary Tumor
969e1a85-f9a2-407e-877d-ad156fa1cd8d	afdedf0e-8475-464a-8adf-18190886d063.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	11CO044, 11CO044	1b7c35d8-3f4b-4d7c-acfe-049847, 7e3d5ae0-3dcc-4207-8dd2-59ab4b	Blood Derived Normal, Primary Tumor
59ff509e-116b-436f-90e1-35d0a7d48bd4	0ad41846-edd8-4bd7-92b8-502d4598bdac.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	09CO008, 09CO008	aa0f5b40-3290-4255-8f4d-f45d4e, 02345909-96ed-4f40-a623-7b95be	Primary Tumor, Blood Derived Normal
2acd9e4d-4d4a-4c29-a6c6-72cf71a42547	26fa3879-7eee-49e0-b6f3-9eca7d8709ce.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	05CO045, 05CO045	8d0e2230-208e-43d7-8048-73d6d6, 92c1ebb5-ac1d-4bf5-a14f-516e1d	Blood Derived Normal, Primary Tumor
febbd8ce-c664-49db-a2ed-64bf2ac5c38a	e45acafa-d23d-4e0e-b0b0-fbcca0f842cf.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	01CO022, 01CO022	7a0266b4-b07c-41dc-8ddd-350e1b, 863521b3-62a8-462c-9f1f-7fa758	Primary Tumor, Blood Derived Normal
77d94bf7-7eba-4595-8034-0a405e0976eb	eedb8f79-99e0-4b96-ac39-f7dd87c63b5b.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	11CO043, 11CO043	591fb460-703a-437d-8d9a-ff2a35, 4eb92587-cfca-47b3-8cc9-0d4a64	Primary Tumor, Blood Derived Normal
54dccde1-9ccf-4a7e-bc94-a6418e5df878	71ae50b5-10bb-4e21-9be3-4307b6c34986.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	05CO011, 05CO011	8495cc54-eb88-40ab-b03f-363edf, 36897a83-b98f-45af-955e-a75e47	Primary Tumor, Blood Derived Normal
cb4aecf6-312d-4ca6-9287-1eb64700414c	e6e8fe34-3bfa-4067-b3c5-8754af84b865.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	11CO058, 11CO058	b2642bf8-c902-49cd-a765-59c718, d3078fa8-0692-411f-8441-0c7c48	Blood Derived Normal, Primary Tumor
